MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi),Torque(klb-ft)
3056,114.293165,,,-0.577208
3056.5,114.293025,,,-0.577280
3057,109.400000,,,-3.100000
3057.5,108.075203,,,-3.131776
3058,111.105594,,,-5.266693
3058.5,111.300000,,,-3.050000
3059,110.300000,,,0.000000
3059.5,109.700000,,,-2.033333
3060,108.500000,,,-6.100000
3060.5,108.500000,,,-6.100000
3061,112.400000,,,-3.100000
3061.5,112.400000,,,-3.100000
3062,112.772773,,,-3.100000
3062.5,112.900000,,,-3.100000
3063,110.014707,,,-3.100000
3063.5,111.459017,,,-3.307272
3064,115.707454,,,-4.258535
3064.5,111.380935,,,-5.334652
3065,112.946566,,,-3.992452
3065.5,112.056381,,,91.048299
3066,112.023324,,,102.208429
3066.5,111.791023,,,426.607051
3067,112.190248,,,998.874187
3067.5,110.903605,,,910.359896
3068,111.907101,,,1060.073222
3068.5,111.764348,,,962.095210
3069,111.417078,,,1089.407600
3069.5,105.324721,,,1547.556744
3070,104.636942,,,1900.258707
3070.5,106.795661,,,1772.611292
3071,104.784361,,,1994.665070
3071.5,104.407313,,,1755.349836
3072,104.926791,,,1852.470294
3072.5,104.619676,,,1788.838999
3073,105.564600,,,1981.664102
3073.5,105.204250,,,1930.098050
3074,105.170327,,,1894.665262
3074.5,106.463558,,,1565.939416
3075,103.793265,,,1778.632159
3075.5,106.176434,,,1704.252337
3076,102.557618,,,1541.788628
3076.5,104.296355,,,1662.530286
3077,103.654084,,,2444.796042
3077.5,103.493747,,,2118.773689
3078,104.645522,,,1917.337147
3078.5,104.692049,,,1851.391853
3079,106.250736,,,1512.377406
3079.5,105.517273,,,1720.455888
3080,106.282554,,,1970.948947
3080.5,105.836992,,,1579.587869
3081,104.985533,,,1743.167580
3081.5,104.342849,,,1837.340099
3082,104.629179,,,1674.501157
3082.5,104.571839,,,1793.818182
3083,104.208802,,,1901.578990
3083.5,104.871031,,,1759.962876
3084,103.764885,,,1816.977809
3084.5,104.812467,,,1539.316384
3085,104.322048,,,1896.269764
3085.5,104.493775,,,1915.678032
3086,103.698309,,,2270.787733
3086.5,101.863689,,,2274.614928
