MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
2800,,19251.068646,845.286177
2800.5,,10963.280413,656.010819
2801,,10497.858239,681.682526
2801.5,,10688.662539,685.867701
2802,,10966.018895,680.166106
2802.5,,11528.815305,699.357340
2803,,11420.414559,681.816312
2803.5,,10392.372458,691.743139
2804,,10857.457762,689.707275
2804.5,,10639.765621,698.340146
2805,,10624.956173,695.995961
2805.5,,9193.856173,698.292497
2806,,9260.186677,700.132033
2806.5,,8695.389258,690.965136
2807,,10190.350838,707.758028
2807.5,,10164.976797,696.865486
2808,,8645.611617,691.852042
2808.5,,8952.031360,693.712000
2809,,10984.606046,721.157972
2809.5,,10180.436057,717.221802
2810,,10676.103852,717.621266
2810.5,,11082.804364,708.995155
2811,,9169.221192,700.635631
2811.5,,10114.224379,703.547817
2812,,10749.961155,703.763580
2812.5,,11525.588176,723.762192
2813,,11974.095485,715.400763
2813.5,,11321.778445,726.875932
2814,,11337.537353,701.293099
2814.5,,10278.028004,692.324351
2815,,9804.297332,691.414991
2815.5,,10041.369408,705.884406
2816,,10566.794535,704.813381
2816.5,,10031.697404,682.933859
2817,,9642.661228,692.232645
2817.5,,10110.119038,695.372938
2818,,9100.674040,694.393100
2818.5,,9855.562362,672.926880
2819,,8622.543790,680.961314
2819.5,,8567.708792,686.654683
2820,,8958.587950,685.874844
2820.5,,9290.623733,680.689454
2821,,9022.359130,685.656056
2821.5,,9925.327556,702.155083
2822,,9477.486301,699.896996
2822.5,,10355.660867,720.580876
2823,,9863.129627,717.285656
2823.5,,10248.971741,708.016236
2824,,10226.631331,710.782492
2824.5,,12081.255657,713.065210
2825,,11483.537086,703.090850
2825.5,,10698.042183,711.032963
2826,,10755.522323,700.781509
2826.5,,11493.904011,704.036864
2827,,10642.736647,724.030487
2827.5,,10670.204389,708.023554
2828,,10137.991558,705.223231
2828.5,,11464.333450,713.607536
2829,,10497.649055,753.540828
2829.5,,11268.511305,751.633982
2830,,10769.280792,746.676374
2830.5,,9001.946528,766.295367
2831,,9657.317633,749.771131
2831.5,,10635.503246,745.270607
2832,,8935.995635,733.223769
2832.5,,10358.942956,741.959732
2833,,9657.584373,758.115228
2833.5,,10110.870539,749.032288
2834,,9843.140048,750.455805
2834.5,,10309.542976,751.359192
2835,,10078.716148,736.170866
2835.5,,10827.901214,739.947829
2836,,10862.793127,738.363669
2836.5,,10204.404797,729.694656
2837,,10942.780993,735.187857
2837.5,,11155.311058,728.652201
2838,,9806.600644,741.144267
2838.5,,11354.575867,732.918613
2839,,9644.861971,738.922140
2839.5,,9671.408618,732.866802
2840,,9413.865493,732.262868
2840.5,,9524.151569,740.531535
2841,,10383.607802,728.538657
2841.5,,9705.452990,726.098293
2842,,8869.680206,731.571685
2842.5,,8659.718818,727.101832
2843,,9585.387093,716.537997
2843.5,,9544.619315,694.161489
2844,,8597.157033,719.518868
2844.5,71.010223,10871.977559,715.742730
2845,89.799652,9884.763480,713.740268
2845.5,102.901382,8018.284140,644.599995
2846,103.727858,8061.846994,562.911272
2846.5,,9256.244365,674.662989
2847,,8112.292100,723.987581
2847.5,,8959.210494,734.060101
2848,,8318.479730,728.767958
2848.5,,7659.921781,732.795096
2849,,9377.468200,715.446325
2849.5,,8817.159592,730.235691
2850,,8725.195365,721.563505
2850.5,,7969.709565,721.085377
2851,,8565.148622,738.452922
2851.5,,8188.583196,736.397433
2852,,9523.621398,731.122343
2852.5,,9511.870836,743.082754
2853,,9651.839460,753.157005
2853.5,,8548.964335,759.234355
2854,,8379.543720,745.207984
2854.5,,9252.196469,756.955487
2855,,10664.525574,759.997785
2855.5,,10289.908264,757.165724
2856,,10602.438894,756.890787
2856.5,,9912.872328,759.979768
2857,,9845.103461,758.544708
2857.5,,10304.560373,755.390118
2858,,10362.275039,765.391982
2858.5,,9886.592214,769.509147
2859,,10559.835390,767.914395
2859.5,,10438.520079,753.971617
2860,,8728.320871,762.879547
2860.5,,8010.891649,748.115373
2861,,9150.543458,761.607252
2861.5,,8816.353899,767.453846
2862,,9315.244846,770.722588
2862.5,,8288.835718,765.884703
2863,,8906.588315,764.334954
2863.5,,8860.024433,765.877033
2864,,8849.329386,745.319783
2864.5,,8007.553333,738.118611
2865,,8285.895710,698.050189
2865.5,,8570.462632,689.374102
2866,,8499.427404,715.128613
2866.5,,10110.630640,712.943069
2867,,10249.270120,752.169897
2867.5,,9115.273636,745.224844
2868,,9709.548700,740.367395
2868.5,,8714.171998,750.152858
2869,,8795.995474,733.013424
2869.5,,9232.772059,720.496067
2870,,8962.846067,734.888005
2870.5,,9543.564276,743.185113
2871,,9762.894515,751.491083
2871.5,,10263.182334,740.792548
2872,,8018.268136,757.637293
2872.5,,9271.562325,741.867854
2873,,8364.618404,739.491007
2873.5,,8155.097889,752.982379
2874,,8622.438684,745.245973
2874.5,,8657.556697,743.304305
2875,,9066.220813,745.351062
2875.5,,9636.118198,735.828839
2876,,9569.180721,734.916199
2876.5,,8954.532282,733.497788
2877,,10130.812843,748.187486
2877.5,,9178.608927,748.340358
2878,,10169.420834,735.161842
2878.5,,11992.467306,734.302234
2879,,10143.278537,752.688588
2879.5,,10411.678680,755.338608
2880,,10290.835910,740.973861
2880.5,,10230.705901,738.401927
2881,,9830.596381,737.435170
2881.5,,9414.581387,744.146151
2882,,9575.587938,744.678006
2882.5,,9433.955627,754.322702
2883,,9201.406234,763.222519
2883.5,,8822.717743,767.664736
2884,,8938.224668,752.668556
2884.5,,9722.509302,762.333774
2885,,9045.879837,773.444157
2885.5,,8268.775213,756.214939
2886,,9149.664219,743.437540
2886.5,,8160.223168,746.318816
2887,,8970.701802,753.343013
2887.5,,9416.642122,740.930189
2888,,9344.663986,762.930523
2888.5,,9309.944077,768.914250
2889,,9580.148414,749.912309
2889.5,,9334.037484,736.571455
2890,,9943.273819,757.209964
2890.5,,10585.815593,758.026987
2891,,9803.338945,748.493450
2891.5,,8898.881408,754.952119
2892,,9685.423986,756.026343
2892.5,,8970.294612,749.098162
2893,,8862.406888,762.088412
2893.5,,9566.349171,757.862402
2894,,8626.330281,749.245382
2894.5,,8414.555531,748.452128
2895,,9143.076497,744.967783
2895.5,,8732.268764,750.099472
2896,,8270.307390,746.620490
2896.5,,9235.343370,740.735684
2897,,8806.734825,745.709804
2897.5,,8637.305618,740.255439
2898,,7129.515456,749.348539
2898.5,,8219.249614,753.082946
2899,,9571.757604,773.376710
2899.5,,9568.147562,771.578459
2900,,10003.409953,774.548685
2900.5,,9396.042683,774.109649
2901,,9437.172904,762.413287
2901.5,,10240.111388,758.899404
2902,,10325.960744,774.498956
2902.5,,11118.693780,802.492426
2903,,11131.217965,845.669192
2903.5,,10325.307072,825.403864
2904,,10473.875485,809.038934
2904.5,,11463.498113,791.475151
2905,,10121.068409,785.385172
2905.5,,11174.469915,785.442562
2906,,11983.726295,771.086526
2906.5,,9955.066700,785.916342
