MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
2801.0,,10497.858239,
2803.5,,10392.372458,
2805.5,,9193.856173,
2806.0,,9260.186677,
2806.5,,8695.389258,
2807.0,,10190.350838,
2807.5,,10164.976797,
2808.0,,8645.611617,
2808.5,,8952.03136,
2809.5,,10180.436057,
2811.0,,9169.221192,
2811.5,,10114.224379,
2814.5,,10278.028004,
2815.0,,9804.297332,
2815.5,,10041.369408,
2816.5,,10031.697404,
2817.0,,9642.661228,
2817.5,,10110.119038,
2818.0,,9100.67404,
2818.5,,9855.562362,
2819.0,,8622.54379,
2819.5,,8567.708792,
2820.0,,8958.58795,
2820.5,,9290.623733,
2821.0,,9022.35913,
2821.5,,9925.327556,
2822.0,,9477.486301,
2823.0,,9863.129627,
2823.5,,10248.971741,
2824.0,,10226.631331,
2828.0,,10137.991558,
2830.5,,9001.946528,
2831.0,,9657.317633,
2832.0,,8935.995635,
2833.0,,9657.584373,
2833.5,,10110.870539,
2834.0,,9843.140048,
2835.0,,10078.716148,
2838.0,,9806.600644,
2839.0,,9644.861971,
2839.5,,9671.408618,
2840.0,,9413.865493,
2840.5,,9524.151569,
2841.5,,9705.45299,
2842.0,,8869.680206,
2842.5,,8659.718818,
2843.0,,9585.387093,
2843.5,,9544.619315,
2844.0,,8597.157033,
2845.0,89.799652,9884.76348,
2845.5,,8018.28414,
2846.0,,8061.846994,
2846.5,,9256.244365,
2847.0,,8112.2921,
2847.5,,8959.210494,
2848.0,,8318.47973,
2848.5,,7659.921781,
2849.0,,9377.4682,
2849.5,,8817.159592,
2850.0,,8725.195365,
2850.5,,7969.709565,
2851.0,,8565.148622,
2851.5,,8188.583196,
2852.0,,9523.621398,
2852.5,,9511.870836,
2853.0,,9651.83946,
2853.5,,8548.964335,
2854.0,,8379.54372,
2854.5,,9252.196469,
2856.5,,9912.872328,
2857.0,,9845.103461,
2858.5,,9886.592214,
2860.0,,8728.320871,
2860.5,,8010.891649,
2861.0,,9150.543458,
2861.5,,8816.353899,
2862.0,,9315.244846,
2862.5,,8288.835718,
2863.0,,8906.588315,
2863.5,,8860.024433,
2864.0,,8849.329386,
2864.5,,8007.553333,
2865.0,,8285.89571,
2865.5,,8570.462632,
2866.0,,8499.427404,
2867.5,,9115.273636,
2868.0,,9709.5487,
2868.5,,8714.171998,
2869.0,,8795.995474,
2869.5,,9232.772059,
2870.0,,8962.846067,
2870.5,,9543.564276,
2871.0,,9762.894515,
2872.0,,8018.268136,
2872.5,,9271.562325,
2873.0,,8364.618404,
2873.5,,8155.097889,
2874.0,,8622.438684,
2874.5,,8657.556697,
2875.0,,9066.220813,
2875.5,,9636.118198,
2876.0,,9569.180721,
2876.5,,8954.532282,
2877.5,,9178.608927,
2881.5,,9414.581387,
2882.0,,9575.587938,
2882.5,,9433.955627,
2883.0,,9201.406234,
2883.5,,8822.717743,
2884.0,,8938.224668,
2884.5,,9722.509302,
2885.0,,9045.879837,
2885.5,,8268.775213,
2886.0,,9149.664219,
2886.5,,8160.223168,
2887.0,,8970.701802,
2887.5,,9416.642122,
2888.0,,9344.663986,
2888.5,,9309.944077,
2889.0,,9580.148414,
2889.5,,9334.037484,
2891.5,,8898.881408,
2892.5,,8970.294612,
2893.0,,8862.406888,
2893.5,,9566.349171,
2894.0,,8626.330281,
2894.5,,8414.555531,
2895.0,,9143.076497,
2895.5,,8732.268764,
2896.0,,8270.30739,
2896.5,,9235.34337,
2897.0,,8806.734825,
2897.5,,8637.305618,
2898.0,,7129.515456,
2898.5,,8219.249614,
2899.0,,9571.757604,
2899.5,,9568.147562,
2900.5,,9396.042683,
2901.0,,9437.172904,
2907.0,,9472.959311,
2907.5,,9404.427682,
2909.0,,9193.031268,
2909.5,,9452.046425,
2910.0,,9494.283758,
2910.5,,8731.294272,
2911.0,101.214122,,
2911.5,101.857674,,
2912.0,99.815289,,
2912.5,98.88694,7362.840176,
2913.0,,5348.039139,1869.299798
2913.5,,5387.996786,1905.554006
2914.0,,5224.624456,1928.946584
2915.0,,,1917.453339
2915.5,,,1916.650168
2916.0,,,1930.295026
2916.5,,,1920.136534
2917.0,,,1864.519458
2917.5,,,1863.182939
2918.0,,,1871.957578
2918.5,,5305.401546,1884.779987
2919.0,,5484.318285,
2922.5,,5189.396691,
2927.0,,5131.279159,
2928.0,,5131.376099,
2936.0,,5298.783904,1963.154764
2938.0,,5204.027047,
2938.5,98.1,,1961.528265
2939.0,101.063639,,1958.352969
2939.5,101.058089,5120.661291,1960.449856
2940.0,90.092104,5183.971731,1902.013473
2940.5,,,1903.917678
2941.5,,5428.401108,
2942.0,,5432.120352,
2942.5,,5824.787045,
2943.0,,5584.129564,
2943.5,,5537.495077,
2944.0,,5558.364279,
2944.5,,5663.123526,
2945.0,,6439.990444,
2945.5,,5108.428332,
2946.0,,5210.788306,
2946.5,,5593.650252,
2947.0,,5584.459382,
2947.5,,5486.251006,
2948.0,,5602.486528,
2948.5,,5822.875875,
2949.0,,5566.009747,
2949.5,,5255.2779,
2950.0,,5225.067023,
2950.5,,5660.416772,
2951.0,,5547.610612,
2951.5,,5480.570165,
2952.0,,5235.254769,
2952.5,,5830.915762,
2953.0,,5670.386277,
2953.5,,5484.866381,
2954.0,,5956.081091,
2954.5,,5678.457365,
2955.0,,5694.338337,
2955.5,,5903.651661,
2956.0,,5799.938758,
2956.5,,5436.368653,
2957.0,,5952.107911,
2957.5,,6433.252274,
2958.0,,5936.864794,
2958.5,,5876.737589,
2959.0,,6138.464699,
2959.5,,5972.202851,
2960.0,,5575.004788,
2960.5,,5831.42818,
2961.0,,5989.401391,
2961.5,,5826.040481,
